gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSAPLG00000018946	132.98712892471	1.92252754558198	0.899495421487337	5.50521873283319e-05	0.00446346195723552
ENSAPLG00000018970	390.982783325127	1.84269264084902	0.298191506943437	7.15629929250518e-11	2.00113495726339e-08
ENSAPLG00000019004	62.4311853927794	1.46335769853177	0.567619772715086	1.59074622160588e-05	0.00163882742319126
ENSAPLG00000019041	112.258606774828	2.01391884406874	1.52445192906266	0.000194660619280452	0.0116473353946758
ENSAPLG00000019231	7.26655430344153	-2.17513755676751	1.4499316266026	0.000137949237555141	0.00891594553292711
ENSAPLG00000019373	65.7022228351743	0.631055076453584	0.363108326335724	0.000366727211292317	0.0194763420508811
ENSAPLG00000019404	110.558239101914	3.32874162227865	0.560258728422417	3.70546346284896e-10	9.06647506570651e-08
ENSAPLG00000019496	1141.34012594288	1.83559319519518	0.280642219365208	8.26862707174641e-12	2.6975411461207e-09
ENSAPLG00000019747	70.5661616309754	0.639584015850232	0.487040097759825	0.000668346883303106	0.0311721752733851
ENSAPLG00000019749	294.957825717812	2.99334685442486	0.390465155744134	3.74332499985845e-15	3.4194026098707e-12
ENSAPLG00000020060	107.474105859586	2.4023640690097	0.338444746942053	4.21274611409956e-13	2.06153740197829e-10
ENSAPLG00000020378	110.157050734092	-1.03742542045553	0.577396499181176	0.000103913957839433	0.00741577630372873
ENSAPLG00000020439	53.0350273264748	4.37596965856779	0.652087104277702	6.6634765767591e-13	3.04343186849177e-10
ENSAPLG00000020648	15.648171785891	1.95748374550093	0.959936554605612	6.57923162556021e-05	0.00527184980897228
ENSAPLG00000020652	189.267466760074	0.881203107254434	0.231181642769307	2.05074963615538e-07	3.59537412561804e-05
ENSAPLG00000020790	78.3951948426478	5.02665959220988	0.873398596553573	1.12930177206232e-10	3.03405742760743e-08
ENSAPLG00000020802	48.8423859541535	3.79016386532603	0.645773385740925	3.16013479405056e-10	8.01854943482978e-08
ENSAPLG00000020959	160.702704648144	0.608371143852041	0.18042114932193	1.97776604703082e-05	0.00197805477200119
ENSAPLG00000020982	33.1596577797594	1.33538294002109	0.836427179455281	0.000158952370827437	0.0100367068436753
